"","Q","Other","Self","Percentile","Subject"
"X1.28",1,1,1,0.85,29
"X2.28",2,0.9,1,0.85,29
"X3.28",3,0.75,1,0.85,29
"X4.28",4,0.95,1,0.85,29
"X5.28",5,0.35,0.75,0.85,29
"X6.28",6,0.7,1,0.85,29
"X7.28",7,0.6,1,0.85,29
"X8.28",8,0.6,1,0.85,29
"X9.28",9,0.6,1,0.85,29
"X10.28",10,0.9,1,0.85,29
"X11.28",11,0.7,1,0.85,29
"X12.28",12,0.25,0.25,0.85,29
"X1.29",1,0.85,1,0.85,30
"X2.29",2,0.85,1,0.85,30
"X3.29",3,0.85,1,0.85,30
"X4.29",4,0.85,1,0.85,30
"X5.29",5,0.85,1,0.85,30
"X6.29",6,0.45,0.5,0.85,30
"X7.29",7,0.45,0.75,0.85,30
"X8.29",8,0.7,1,0.85,30
"X9.29",9,0.4,0.5,0.85,30
"X10.29",10,0.85,1,0.85,30
"X11.29",11,0.45,0.5,0.85,30
"X12.29",12,0.25,0.25,0.85,30
"X1.30",1,0.85,1,0.7,31
"X2.30",2,0.85,1,0.7,31
"X3.30",3,0.38,0.75,0.7,31
"X4.30",4,0.8,1,0.7,31
"X5.30",5,0.8,1,0.7,31
"X6.30",6,0.45,1,0.7,31
"X7.30",7,0.6,0.7,0.7,31
"X8.30",8,0.25,0.25,0.7,31
"X9.30",9,0.75,1,0.7,31
"X10.30",10,0.25,0.25,0.7,31
"X11.30",11,0.25,0.25,0.7,31
"X12.30",12,0.48,1,0.7,31
"X1.31",1,0.8,1,0.5,32
"X2.31",2,1,1,0.5,32
"X3.31",3,0.5,1,0.5,32
"X4.31",4,0.3,0.2,0.5,32
"X5.31",5,0.5,0.5,0.5,32
"X6.31",6,0.3,1,0.5,32
"X7.31",7,0.4,0.2,0.5,32
"X8.31",8,0.3,0.4,0.5,32
"X9.31",9,0.5,0.5,0.5,32
"X10.31",10,1,1,0.5,32
"X11.31",11,1,1,0.5,32
"X12.31",12,0.3,0.3,0.5,32
"X1.32",1,0.5,1,0.5,33
"X2.32",2,0.5,1,0.5,33
"X3.32",3,0.5,1,0.5,33
"X4.32",4,0.25,1,0.5,33
"X5.32",5,0.25,0.25,0.5,33
"X6.32",6,0.25,0.25,0.5,33
"X7.32",7,0.8,1,0.5,33
"X8.32",8,0.25,0.25,0.5,33
"X9.32",9,0.25,0.4,0.5,33
"X10.32",10,0.25,0.25,0.5,33
"X11.32",11,0.25,0.25,0.5,33
"X12.32",12,0.25,0.25,0.5,33
"X1.33",1,1,1,0.77,34
"X2.33",2,1,1,0.77,34
"X3.33",3,1,1,0.77,34
"X4.33",4,0.6,1,0.77,34
"X5.33",5,0.9,1,0.77,34
"X6.33",6,0.6,1,0.77,34
"X7.33",7,0.6,1,0.77,34
"X8.33",8,0.6,1,0.77,34
"X9.33",9,0.75,0.7,0.77,34
"X10.33",10,0.6,1,0.77,34
"X11.33",11,0.6,0.51,0.77,34
"X12.33",12,0.333,0.34,0.77,34
"X1.34",1,0.25,0.5,0.25,35
"X2.34",2,1,1,0.25,35
"X3.34",3,0.9,0.75,0.25,35
"X4.34",4,0.5,0.75,0.25,35
"X5.34",5,0.5,0.75,0.25,35
"X6.34",6,0.75,0.75,0.25,35
"X7.34",7,0.4,0.4,0.25,35
"X8.34",8,0.25,0.25,0.25,35
"X9.34",9,0.25,0.4,0.25,35
"X10.34",10,0.3,0.4,0.25,35
"X11.34",11,0.5,0.6,0.25,35
"X12.34",12,0.35,0.2,0.25,35
"X1.35",1,0.35,0.75,0.75,36
"X2.35",2,1,0.6,0.75,36
"X3.35",3,1,0.35,0.75,36
"X4.35",4,1,0.75,0.75,36
"X5.35",5,0.7,0.6,0.75,36
"X6.35",6,0.75,0.5,0.75,36
"X7.35",7,0.65,0.95,0.75,36
"X8.35",8,1,1,0.75,36
"X9.35",9,0.25,0.25,0.75,36
"X10.35",10,1,1,0.75,36
"X11.35",11,1,1,0.75,36
"X12.35",12,0.75,1,0.75,36
"X1.36",1,0.3,0.3,0.5,37
"X2.36",2,0.3,0.4,0.5,37
"X3.36",3,0.3,0.4,0.5,37
"X4.36",4,0.4,0.5,0.5,37
"X5.36",5,0.4,0.4,0.5,37
"X6.36",6,0.2,0.5,0.5,37
"X7.36",7,0.2,0.5,0.5,37
"X8.36",8,0.3,0.5,0.5,37
"X9.36",9,0.3,0.4,0.5,37
"X10.36",10,0.3,0.3,0.5,37
"X11.36",11,0.3,0.4,0.5,37
"X12.36",12,0.3,0.3,0.5,37
"X1.37",1,0.8,1,0.3,38
"X2.37",2,0,0,0.3,38
"X3.37",3,0.25,0,0.3,38
"X4.37",4,0.25,0.25,0.3,38
"X5.37",5,0.25,0.33,0.3,38
"X6.37",6,0.25,0.25,0.3,38
"X7.37",7,0.25,0.25,0.3,38
"X8.37",8,0.25,0.25,0.3,38
"X9.37",9,0.25,0.25,0.3,38
"X10.37",10,0.25,0.25,0.3,38
"X11.37",11,0.25,0.25,0.3,38
"X12.37",12,0.25,0.25,0.3,38
"X1.38",1,0.5,0.5,0.75,39
"X2.38",2,0.95,1,0.75,39
"X3.38",3,0.8,1,0.75,39
"X4.38",4,0.55,0.99,0.75,39
"X5.38",5,0.25,1,0.75,39
"X6.38",6,0.4,0.34,0.75,39
"X7.38",7,0.5,0.5,0.75,39
"X8.38",8,0.25,0.7,0.75,39
"X9.38",9,0.33,0.5,0.75,39
"X10.38",10,0.25,0.5,0.75,39
"X11.38",11,0.25,0.25,0.75,39
"X12.38",12,0.34,0.34,0.75,39
"X1.39",1,0.75,0.75,0.75,40
"X2.39",2,0.7,1,0.75,40
"X3.39",3,0.25,0.25,0.75,40
"X4.39",4,0.7,0.7,0.75,40
"X5.39",5,0.25,0.25,0.75,40
"X6.39",6,0.7,0.7,0.75,40
"X7.39",7,0.7,0.7,0.75,40
"X8.39",8,0.25,0.25,0.75,40
"X9.39",9,0.7,1,0.75,40
"X10.39",10,0.7,0.7,0.75,40
"X11.39",11,0.7,0.7,0.75,40
"X12.39",12,0.7,0.7,0.75,40
"X1.40",1,0.9,1,0.8,41
"X2.40",2,0.4,1,0.8,41
"X3.40",3,0.4,1,0.8,41
"X4.40",4,0.5,0.8,0.8,41
"X5.40",5,0.34,0.34,0.8,41
"X6.40",6,0.25,1,0.8,41
"X7.40",7,0.25,0.4,0.8,41
"X8.40",8,0.4,0.4,0.8,41
"X9.40",9,0.5,0.5,0.8,41
"X10.40",10,0.8,0.8,0.8,41
"X11.40",11,0.7,0.7,0.8,41
"X12.40",12,0.7,0.7,0.8,41
"X1.41",1,1,1,0.7,42
"X2.41",2,1,1,0.7,42
"X3.41",3,1,1,0.7,42
"X4.41",4,1,1,0.7,42
"X5.41",5,1,1,0.7,42
"X6.41",6,1,1,0.7,42
"X7.41",7,1,1,0.7,42
"X8.41",8,0.3,0.3,0.7,42
"X9.41",9,1,1,0.7,42
"X10.41",10,1,1,0.7,42
"X11.41",11,0.3,0.4,0.7,42
"X12.41",12,0.3,0.4,0.7,42
"X1.42",1,0.95,1,0.5,43
"X2.42",2,0.85,1,0.5,43
"X3.42",3,0.55,0.95,0.5,43
"X4.42",4,0.45,0.4,0.5,43
"X5.42",5,0.35,0.5,0.5,43
"X6.42",6,0.25,0.25,0.5,43
"X7.42",7,0.5,0.5,0.5,43
"X8.42",8,0.35,0.4,0.5,43
"X9.42",9,0.55,0.85,0.5,43
"X10.42",10,0.25,0.4,0.5,43
"X11.42",11,0.25,0.5,0.5,43
"X12.42",12,0.25,0.25,0.5,43
"X1.43",1,0.7,0.9,0.7,44
"X2.43",2,0.9,1,0.7,44
"X3.43",3,0.8,1,0.7,44
"X4.43",4,0.3,0.5,0.7,44
"X5.43",5,0.5,0.9,0.7,44
"X6.43",6,0.5,0.5,0.7,44
"X7.43",7,0.3,0.5,0.7,44
"X8.43",8,0.3,0.6,0.7,44
"X9.43",9,0.5,0.6,0.7,44
"X10.43",10,0.6,0.6,0.7,44
"X11.43",11,0.4,0.4,0.7,44
"X12.43",12,0.4,0.6,0.7,44
"X1.44",1,0.3,0.6,0.5,45
"X2.44",2,0.3,0.3,0.5,45
"X3.44",3,0.5,0.5,0.5,45
"X4.44",4,0.5,0.6,0.5,45
"X5.44",5,0.6,0.6,0.5,45
"X6.44",6,0.4,0.5,0.5,45
"X7.44",7,0.1,0.3,0.5,45
"X8.44",8,0.2,0.4,0.5,45
"X9.44",9,0.2,0.4,0.5,45
"X10.44",10,0.4,0.3,0.5,45
"X11.44",11,0.4,0.4,0.5,45
"X12.44",12,0.5,0.3,0.5,45
"X1.45",1,0.9,1,0.85,46
"X2.45",2,0.95,1,0.85,46
"X3.45",3,0.75,0.75,0.85,46
"X4.45",4,1,1,0.85,46
"X5.45",5,0.75,1,0.85,46
"X6.45",6,1,1,0.85,46
"X7.45",7,0.65,1,0.85,46
"X8.45",8,0.8,1,0.85,46
"X9.45",9,0.5,0.5,0.85,46
"X10.45",10,0.65,1,0.85,46
"X11.45",11,0.5,1,0.85,46
"X12.45",12,0.65,0.75,0.85,46
"X1.46",1,0.5,0.7,0.9,47
"X2.46",2,1,1,0.9,47
"X3.46",3,0.25,1,0.9,47
"X4.46",4,0.25,1,0.9,47
"X5.46",5,0.25,1,0.9,47
"X6.46",6,0.25,1,0.9,47
"X7.46",7,0.25,1,0.9,47
"X8.46",8,0.25,1,0.9,47
"X9.46",9,0.25,1,0.9,47
"X10.46",10,0.25,1,0.9,47
"X11.46",11,0.25,1,0.9,47
"X12.46",12,0.25,1,0.9,47
"X1.47",1,0.65,1,0.98,48
"X2.47",2,1,1,0.98,48
"X3.47",3,0.45,0.85,0.98,48
"X4.47",4,1,1,0.98,48
"X5.47",5,0.5,0.9,0.98,48
"X6.47",6,0.75,0.9,0.98,48
"X7.47",7,0.75,0.85,0.98,48
"X8.47",8,0.5,0.9,0.98,48
"X9.47",9,0.5,1,0.98,48
"X10.47",10,0.45,0.4,0.98,48
"X11.47",11,0.25,0.25,0.98,48
"X12.47",12,0.25,0.3,0.98,48
"X1.48",1,1,1,0.5,49
"X2.48",2,1,1,0.5,49
"X3.48",3,0.5,1,0.5,49
"X4.48",4,1,1,0.5,49
"X5.48",5,1,0.5,0.5,49
"X6.48",6,0.5,0.5,0.5,49
"X7.48",7,0.5,0.5,0.5,49
"X8.48",8,1,1,0.5,49
"X9.48",9,1,1,0.5,49
"X10.48",10,0.5,0.5,0.5,49
"X11.48",11,0.5,0.5,0.5,49
"X12.48",12,0.25,0.25,0.5,49
"X1.49",1,0.8,0.8,0.6,50
"X2.49",2,0.8,1,0.6,50
"X3.49",3,0.5,0.5,0.6,50
"X4.49",4,0.5,0.5,0.6,50
"X5.49",5,1,1,0.6,50
"X6.49",6,1,1,0.6,50
"X7.49",7,1,1,0.6,50
"X8.49",8,0.6,0.6,0.6,50
"X9.49",9,1,1,0.6,50
"X10.49",10,1,1,0.6,50
"X11.49",11,1,1,0.6,50
"X12.49",12,0.5,0.5,0.6,50
"X1.50",1,0.75,0.75,0.6,51
"X2.50",2,0.1,0.1,0.6,51
"X3.50",3,0.75,0.75,0.6,51
"X4.50",4,0.35,0.35,0.6,51
"X5.50",5,0.4,0.4,0.6,51
"X6.50",6,0.3,0.25,0.6,51
"X7.50",7,0.4,0.45,0.6,51
"X8.50",8,0.3,0.35,0.6,51
"X9.50",9,0.55,0.5,0.6,51
"X10.50",10,0.45,0.4,0.6,51
"X11.50",11,0.4,0.4,0.6,51
"X12.50",12,0.4,0.45,0.6,51
"X1.51",1,1,1,0.5,52
"X2.51",2,0,0,0.5,52
"X3.51",3,0.7,1,0.5,52
"X4.51",4,1,1,0.5,52
"X5.51",5,1,1,0.5,52
"X6.51",6,1,1,0.5,52
"X7.51",7,0.5,0.5,0.5,52
"X8.51",8,0.5,0.7,0.5,52
"X9.51",9,0.7,0.8,0.5,52
"X10.51",10,1,1,0.5,52
