"","X","Q","Other","Self","Percentile","Subject"
"1797","X5.112",5,0.88,1,0.95,112
"1798","X6.112",6,0.3,1,0.95,112
"1799","X7.112",7,0.8,1,0.95,112
"1800","X8.112",8,0.4,1,0.95,112
"1801","X9.112",9,0.4,1,0.95,112
"1802","X10.112",10,0.3,1,0.95,112
"1803","X11.112",11,0.2,0.75,0.95,112
"1804","X12.112",12,0.35,0.65,0.95,112
"1805","X13.112",13,1,1,0.95,112
"1806","X14.112",14,1,1,0.95,112
"1807","X15.112",15,0.9,1,0.95,112
"1808","X16.112",16,0.5,1,0.95,112
"1809","X1.113",1,0.25,0.25,0.1,113
"1810","X2.113",2,0.5,1,0.1,113
"1811","X3.113",3,0.3,0.45,0.1,113
"1812","X4.113",4,0.3,0.5,0.1,113
"1813","X5.113",5,0.5,0.7,0.1,113
"1814","X6.113",6,0.35,0.25,0.1,113
"1815","X7.113",7,0.25,0.25,0.1,113
"1816","X8.113",8,0.25,0.25,0.1,113
"1817","X9.113",9,0.3,0.5,0.1,113
"1818","X10.113",10,0.4,0.25,0.1,113
"1819","X11.113",11,0.5,0.3,0.1,113
"1820","X12.113",12,0.3,0.45,0.1,113
"1821","X13.113",13,0.25,0.25,0.1,113
"1822","X14.113",14,0.3,0.25,0.1,113
"1823","X15.113",15,0.6,0.7,0.1,113
"1824","X16.113",16,0.5,0.6,0.1,113
"1825","X1.114",1,0.7,1,0.1,114
"1826","X2.114",2,1,1,0.1,114
"1827","X3.114",3,1,1,0.1,114
"1828","X4.114",4,0.1,1,0.1,114
"1829","X5.114",5,0,0.5,0.1,114
"1830","X6.114",6,1,1,0.1,114
"1831","X7.114",7,1,1,0.1,114
"1832","X8.114",8,1,1,0.1,114
"1833","X9.114",9,1,1,0.1,114
"1834","X10.114",10,1,1,0.1,114
"1835","X11.114",11,1,1,0.1,114
"1836","X12.114",12,1,1,0.1,114
"1837","X13.114",13,1,1,0.1,114
"1838","X14.114",14,1,1,0.1,114
"1839","X15.114",15,1,1,0.1,114
"1840","X16.114",16,1,1,0.1,114
"1841","X1.115",1,0.9,0.85,0.85,115
"1842","X2.115",2,0.9,0.8,0.85,115
"1843","X3.115",3,0.9,0.8,0.85,115
"1844","X4.115",4,0.1,0.8,0.85,115
"1845","X5.115",5,1,1,0.85,115
"1846","X6.115",6,0.9,0.7,0.85,115
"1847","X7.115",7,0.8,0.8,0.85,115
"1848","X8.115",8,0.9,0.9,0.85,115
"1849","X9.115",9,0.85,0.9,0.85,115
"1850","X10.115",10,0.8,0.85,0.85,115
"1851","X11.115",11,0.8,0.9,0.85,115
"1852","X12.115",12,0.95,0.9,0.85,115
"1853","X13.115",13,1,1,0.85,115
"1854","X14.115",14,1,1,0.85,115
"1855","X15.115",15,0.9,1,0.85,115
"1856","X16.115",16,0.8,0.85,0.85,115
"1857","X1.116",1,0.45,0.75,0.33,116
"1858","X2.116",2,0.45,0.5,0.33,116
"1859","X3.116",3,0.5,0.55,0.33,116
"1860","X4.116",4,0.4,0.25,0.33,116
"1861","X5.116",5,0.33,0.33,0.33,116
"1862","X6.116",6,0.8,0.9,0.33,116
"1863","X7.116",7,0.25,0.4,0.33,116
"1864","X8.116",8,0.15,0.25,0.33,116
"1865","X9.116",9,0.3,0.34,0.33,116
"1866","X10.116",10,0.3,0.3,0.33,116
"1867","X11.116",11,0.5,0.7,0.33,116
"1868","X12.116",12,0.4,0.75,0.33,116
"1869","X13.116",13,0.25,0.7,0.33,116
"1870","X14.116",14,0.75,1,0.33,116
"1871","X15.116",15,0.3,0.33,0.33,116
"1872","X16.116",16,0.35,0.35,0.33,116
"1873","X1.117",1,0.9,1,0.9,117
"1874","X2.117",2,0.5,1,0.9,117
"1875","X3.117",3,0.7,1,0.9,117
"1876","X4.117",4,0.5,1,0.9,117
"1877","X5.117",5,1,1,0.9,117
"1878","X6.117",6,0.3,1,0.9,117
"1879","X7.117",7,0.3,1,0.9,117
"1880","X8.117",8,0.5,1,0.9,117
"1881","X9.117",9,0.2,1,0.9,117
"1882","X10.117",10,0.7,0.7,0.9,117
"1883","X11.117",11,0.4,0.5,0.9,117
"1884","X12.117",12,0.5,0.5,0.9,117
"1885","X13.117",13,1,1,0.9,117
"1886","X14.117",14,1,1,0.9,117
"1887","X15.117",15,1,1,0.9,117
"1888","X16.117",16,0.5,1,0.9,117
"1889","X1.118",1,0.5,0.5,0.5,118
"1890","X2.118",2,0.25,0.25,0.5,118
"1891","X3.118",3,0.6,0.6,0.5,118
"1892","X4.118",4,0.7,0.8,0.5,118
"1893","X5.118",5,1,1,0.5,118
"1894","X6.118",6,1,0.9,0.5,118
"1895","X7.118",7,0,0,0.5,118
"1896","X8.118",8,1,1,0.5,118
"1897","X9.118",9,0,0,0.5,118
"1898","X10.118",10,1,1,0.5,118
"1899","X11.118",11,0.6,0.5,0.5,118
"1900","X12.118",12,1,1,0.5,118
"1901","X13.118",13,0.5,0.5,0.5,118
"1902","X14.118",14,1,1,0.5,118
"1903","X15.118",15,1,1,0.5,118
"1904","X16.118",16,1,1,0.5,118
"1905","X1.119",1,0.25,0.45,0.65,119
"1906","X2.119",2,0.4,0.5,0.65,119
"1907","X3.119",3,0.45,0.4,0.65,119
"1908","X4.119",4,0.25,0.3,0.65,119
"1909","X5.119",5,0.8,0.8,0.65,119
"1910","X6.119",6,0.25,0.25,0.65,119
"1911","X7.119",7,0.45,0.6,0.65,119
"1912","X8.119",8,0.25,0.35,0.65,119
"1913","X9.119",9,0.4,0.4,0.65,119
"1914","X10.119",10,0.55,0.55,0.65,119
"1915","X11.119",11,0.3,0.5,0.65,119
"1916","X12.119",12,0.25,0.25,0.65,119
"1917","X13.119",13,0.25,0.25,0.65,119
"1918","X14.119",14,0.45,0.45,0.65,119
"1919","X15.119",15,0.25,0.25,0.65,119
"1920","X16.119",16,0.25,0.25,0.65,119
"1921","X1.120",1,0.5,1,0.8,120
"1922","X2.120",2,0.3,0.5,0.8,120
"1923","X3.120",3,0.25,0.4,0.8,120
"1924","X4.120",4,0.7,1,0.8,120
"1925","X5.120",5,0.5,0.5,0.8,120
"1926","X6.120",6,0.5,0.5,0.8,120
"1927","X7.120",7,0.25,1,0.8,120
"1928","X8.120",8,0.7,1,0.8,120
"1929","X9.120",9,0.8,1,0.8,120
"1930","X10.120",10,0.5,1,0.8,120
"1931","X11.120",11,0.8,1,0.8,120
"1932","X12.120",12,0.25,0.25,0.8,120
"1933","X13.120",13,0.9,1,0.8,120
"1934","X14.120",14,1,1,0.8,120
"1935","X15.120",15,0.5,1,0.8,120
"1936","X16.120",16,1,1,0.8,120
"1953","X1.122",1,0.6,0.9,0.75,121
"1954","X2.122",2,1,1,0.75,121
"1955","X3.122",3,0.5,1,0.75,121
"1956","X4.122",4,0.5,0.4,0.75,121
"1957","X5.122",5,1,1,0.75,121
"1958","X6.122",6,0.4,0.5,0.75,121
"1959","X7.122",7,0.4,1,0.75,121
"1960","X8.122",8,1,1,0.75,121
"1961","X9.122",9,0.5,0.5,0.75,121
"1962","X10.122",10,0.25,0.7,0.75,121
"1963","X11.122",11,0.5,1,0.75,121
"1964","X12.122",12,1,1,0.75,121
"1965","X13.122",13,0.4,1,0.75,121
"1966","X14.122",14,1,1,0.75,121
"1967","X15.122",15,1,1,0.75,121
"1968","X16.122",16,1,1,0.75,121
"1969","X1.123",1,0.5,0.5,0.2,122
"1970","X2.123",2,1,1,0.2,122
"1971","X3.123",3,1,1,0.2,122
"1972","X4.123",4,1,1,0.2,122
"1973","X5.123",5,0.5,0.5,0.2,122
"1974","X6.123",6,1,1,0.2,122
"1975","X7.123",7,1,1,0.2,122
"1976","X8.123",8,1,0.5,0.2,122
"1977","X9.123",9,1,1,0.2,122
"1978","X10.123",10,1,1,0.2,122
"1979","X11.123",11,1,1,0.2,122
"1980","X12.123",12,1,1,0.2,122
"1981","X13.123",13,1,1,0.2,122
"1982","X14.123",14,1,1,0.2,122
"1983","X15.123",15,1,1,0.2,122
"1984","X16.123",16,1,1,0.2,122
"1985","X1.124",1,0.9,0.96,0.88,123
"1986","X2.124",2,0.96,0.97,0.88,123
"1987","X3.124",3,0.92,0.93,0.88,123
"1988","X4.124",4,0.93,1,0.88,123
"1989","X5.124",5,0.95,0.99,0.88,123
"1990","X6.124",6,0.6,0.98,0.88,123
"1991","X7.124",7,0.85,0.91,0.88,123
"1992","X8.124",8,0.9,1,0.88,123
"1993","X9.124",9,0.88,0.91,0.88,123
"1994","X10.124",10,0.87,0.9,0.88,123
"1995","X11.124",11,0.52,0.99,0.88,123
"1996","X12.124",12,0.75,0.8,0.88,123
"1997","X13.124",13,0.92,0.96,0.88,123
"1998","X14.124",14,0.98,1,0.88,123
"1999","X15.124",15,0.95,1,0.88,123
"2000","X16.124",16,0.88,0.9,0.88,123
"2001","X1.125",1,0.25,0.25,0.25,124
"2002","X2.125",2,0.4,0.35,0.25,124
"2003","X3.125",3,0.5,0.4,0.25,124
"2004","X4.125",4,0.4,0.4,0.25,124
"2005","X5.125",5,0.5,0.6,0.25,124
"2006","X6.125",6,0.4,0.4,0.25,124
"2007","X7.125",7,0.5,0.5,0.25,124
"2008","X8.125",8,0.4,0.4,0.25,124
"2009","X9.125",9,0.4,0.4,0.25,124
"2010","X10.125",10,0.4,0.4,0.25,124
"2011","X11.125",11,0.6,0.6,0.25,124
"2012","X12.125",12,0.4,0.4,0.25,124
"2013","X13.125",13,0.4,0.4,0.25,124
"2014","X14.125",14,0.4,0.4,0.25,124
"2015","X15.125",15,0.4,0.4,0.25,124
"2016","X16.125",16,0.4,0.4,0.25,124
"2017","X1.126",1,0.45,0.9,0.5,125
"2018","X2.126",2,0.85,1,0.5,125
"2019","X3.126",3,0.5,0.8,0.5,125
"2020","X4.126",4,0.25,0.25,0.5,125
"2021","X5.126",5,0.35,0.85,0.5,125
"2022","X6.126",6,0.25,0.25,0.5,125
"2023","X7.126",7,0.8,1,0.5,125
"2024","X8.126",8,0.6,1,0.5,125
"2025","X9.126",9,0.33,0.33,0.5,125
"2026","X10.126",10,0.34,0.34,0.5,125
"2027","X11.126",11,0.4,0.35,0.5,125
"2028","X12.126",12,0.55,0.8,0.5,125
"2029","X13.126",13,0.25,0.25,0.5,125
"2030","X14.126",14,0.97,1,0.5,125
"2031","X15.126",15,0.5,0.9,0.5,125
"2032","X16.126",16,0.85,0.98,0.5,125
"2033","X1.127",1,0.45,0.79,0.9,126
"2034","X2.127",2,0.7,0.98,0.9,126
"2035","X3.127",3,0.76,1,0.9,126
"2036","X4.127",4,0.33,0.4,0.9,126
"2037","X5.127",5,0.56,0.92,0.9,126
"2038","X6.127",6,0.31,0.4,0.9,126
"2039","X7.127",7,0.5,0.95,0.9,126
"2040","X8.127",8,0.4,0.99,0.9,126
"2041","X9.127",9,0.5,0.85,0.9,126
"2042","X10.127",10,0.35,0.45,0.9,126
"2043","X11.127",11,0.32,0.6,0.9,126
"2044","X12.127",12,0.48,0.9,0.9,126
"2045","X13.127",13,0.7,0,0.9,126
"2046","X14.127",14,0.9,1,0.9,126
"2047","X15.127",15,0.7,0.98,0.9,126
"2048","X16.127",16,0.4,0.6,0.9,126
"2049","X1.128",1,0.85,1,0.75,127
"2050","X2.128",2,0.05,1,0.75,127
"2051","X3.128",3,0.4,0.4,0.75,127
"2052","X4.128",4,0.4,0.4,0.75,127
"2053","X5.128",5,0.55,0.6,0.75,127
"2054","X6.128",6,0.25,1,0.75,127
"2055","X7.128",7,0.4,1,0.75,127
"2056","X8.128",8,0.4,1,0.75,127
"2057","X9.128",9,0.2,0.33,0.75,127
"2058","X10.128",10,0.2,1,0.75,127
"2059","X11.128",11,0.25,1,0.75,127
"2060","X12.128",12,0.3,0.3,0.75,127
"2061","X13.128",13,0.75,1,0.75,127
"2062","X14.128",14,0.85,1,0.75,127
"2063","X15.128",15,0.7,1,0.75,127
"2064","X16.128",16,0.5,0.5,0.75,127
"2065","X1.129",1,0.75,1,0.75,128
"2066","X2.129",2,0.6,1,0.75,128
"2067","X3.129",3,0.5,0.8,0.75,128
"2068","X4.129",4,0.6,0.75,0.75,128
"2069","X5.129",5,0.45,0.6,0.75,128
"2070","X6.129",6,0.25,0.25,0.75,128
"2071","X7.129",7,0.75,0.8,0.75,128
"2072","X8.129",8,0.6,0.8,0.75,128
"2073","X9.129",9,0.5,0.5,0.75,128
"2074","X10.129",10,0.4,0.4,0.75,128
"2075","X11.129",11,0.5,1,0.75,128
"2076","X12.129",12,0.8,0.8,0.75,128
"2077","X13.129",13,1,1,0.75,128
"2078","X14.129",14,1,1,0.75,128
"2079","X15.129",15,0.9,1,0.75,128
"2080","X16.129",16,0.5,0.5,0.75,128
"2081","X1.130",1,0.35,0.8,0.95,129
"2082","X2.130",2,0.4,0.75,0.95,129
"2083","X3.130",3,0.5,0.6,0.95,129
"2084","X4.130",4,0.25,0.4,0.95,129
"2085","X5.130",5,0.6,0.7,0.95,129
"2086","X6.130",6,0.25,0.75,0.95,129
"2087","X7.130",7,0.25,0.75,0.95,129
"2088","X8.130",8,0.5,1,0.95,129
"2089","X9.130",9,0.3,0.5,0.95,129
"2090","X10.130",10,0.35,0.6,0.95,129
"2091","X11.130",11,0.25,0.5,0.95,129
"2092","X12.130",12,0.25,0.5,0.95,129
"2093","X13.130",13,0.6,0.7,0.95,129
"2094","X14.130",14,0.7,1,0.95,129
"2095","X15.130",15,0.4,0.5,0.95,129
"2096","X16.130",16,0.75,0.65,0.95,129
"2097","X1.131",1,0.5,1,0.9,130
"2098","X2.131",2,0.7,1,0.9,130
"2099","X3.131",3,0.15,0.9,0.9,130
"2100","X4.131",4,0.75,1,0.9,130
"2101","X5.131",5,0.9,1,0.9,130
"2102","X6.131",6,0.5,0.9,0.9,130
"2103","X7.131",7,0.85,1,0.9,130
"2104","X8.131",8,0,1,0.9,130
"2105","X9.131",9,0.5,0.5,0.9,130
"2106","X10.131",10,0.8,0.95,0.9,130
"2107","X11.131",11,0.2,0.6,0.9,130
"2108","X12.131",12,0.8,1,0.9,130
"2109","X13.131",13,0.9,1,0.9,130
"2110","X14.131",14,0.85,1,0.9,130
"2111","X15.131",15,0.5,0.6,0.9,130
"2112","X16.131",16,0.6,1,0.9,130
"2113","X1.132",1,0.9,0.8,0.3,131
"2114","X2.132",2,1,1,0.3,131
"2115","X3.132",3,1,1,0.3,131
"2116","X4.132",4,0.95,1,0.3,131
"2117","X5.132",5,0.9,0.9,0.3,131
"2118","X6.132",6,0.5,0.5,0.3,131
"2119","X7.132",7,0.99,1,0.3,131
"2120","X8.132",8,0.95,1,0.3,131
"2121","X9.132",9,0.7,0.6,0.3,131
"2122","X10.132",10,1,1,0.3,131
"2123","X11.132",11,0.5,0.4,0.3,131
"2124","X12.132",12,0.4,0.5,0.3,131
"2125","X13.132",13,1,1,0.3,131
"2126","X14.132",14,1,1,0.3,131
"2127","X15.132",15,0.95,0.7,0.3,131
"2128","X16.132",16,1,1,0.3,131
"2129","X1.133",1,1,1,0.75,132
"2130","X2.133",2,1,1,0.75,132
"2131","X3.133",3,1,1,0.75,132
"2132","X4.133",4,1,1,0.75,132
"2133","X5.133",5,1,1,0.75,132
"2134","X6.133",6,1,1,0.75,132
"2135","X7.133",7,0.7,0.8,0.75,132
"2136","X8.133",8,0.25,0.25,0.75,132
"2137","X9.133",9,0.5,1,0.75,132
"2138","X10.133",10,0.4,0.5,0.75,132
"2139","X11.133",11,0.25,0,0.75,132
"2140","X12.133",12,1,1,0.75,132
"2141","X13.133",13,1,1,0.75,132
"2142","X14.133",14,1,1,0.75,132
"2143","X15.133",15,0,0,0.75,132
"2144","X16.133",16,1,1,0.75,132
"2145","X1.134",1,1,1,0.5,133
"2146","X2.134",2,1,1,0.5,133
"2147","X3.134",3,1,1,0.5,133
"2148","X4.134",4,0.9,1,0.5,133
"2149","X5.134",5,1,1,0.5,133
"2150","X6.134",6,0.4,1,0.5,133
"2151","X7.134",7,1,1,0.5,133
"2152","X8.134",8,0,0,0.5,133
"2153","X9.134",9,1,1,0.5,133
"2154","X10.134",10,1,1,0.5,133
"2155","X11.134",11,0.3,1,0.5,133
"2156","X12.134",12,1,1,0.5,133
"2157","X13.134",13,1,1,0.5,133
"2158","X14.134",14,1,1,0.5,133
"2159","X15.134",15,1,1,0.5,133
"2160","X16.134",16,1,1,0.5,133
"2161","X1.135",1,0.7,0.7,0.8,134
"2162","X2.135",2,0.8,1,0.8,134
"2163","X3.135",3,0.35,0.34,0.8,134
"2164","X4.135",4,0.4,0.45,0.8,134
"2165","X5.135",5,0.5,0.97,0.8,134
"2166","X6.135",6,0.25,0.5,0.8,134
"2167","X7.135",7,0.7,0.75,0.8,134
"2168","X8.135",8,0.5,0.95,0.8,134
"2169","X9.135",9,0.6,0.6,0.8,134
"2170","X10.135",10,0.5,0.7,0.8,134
"2171","X11.135",11,0.25,0.25,0.8,134
"2172","X12.135",12,0.35,0.5,0.8,134
"2173","X13.135",13,0.55,0.55,0.8,134
"2174","X14.135",14,0.95,1,0.8,134
"2175","X15.135",15,0.8,1,0.8,134
"2176","X16.135",16,0.25,0.5,0.8,134
"2177","X1.136",1,0.8,0.9,0.6,135
"2178","X2.136",2,1,1,0.6,135
"2179","X3.136",3,0.5,0.5,0.6,135
"2180","X4.136",4,1,1,0.6,135
"2181","X5.136",5,1,1,0.6,135
"2182","X6.136",6,0.5,0.5,0.6,135
"2183","X7.136",7,1,1,0.6,135
"2184","X8.136",8,0.25,0.25,0.6,135
"2185","X9.136",9,0.5,1,0.6,135
"2186","X10.136",10,0.6,0.6,0.6,135
"2187","X11.136",11,0,0.5,0.6,135
"2188","X12.136",12,0.5,0.5,0.6,135
"2189","X13.136",13,1,1,0.6,135
"2190","X14.136",14,1,1,0.6,135
"2191","X15.136",15,0.5,0.5,0.6,135
"2192","X16.136",16,1,1,0.6,135
"2193","X1.137",1,0.8,0.6,0.5,136
"2194","X2.137",2,0.6,0.9,0.5,136
"2195","X3.137",3,0.4,1,0.5,136
"2196","X4.137",4,0.45,0.4,0.5,136
"2197","X5.137",5,0.9,1,0.5,136
"2198","X6.137",6,0.8,1,0.5,136
"2199","X7.137",7,0.9,1,0.5,136
"2200","X8.137",8,0.5,1,0.5,136
"2201","X9.137",9,0.25,0.6,0.5,136
"2202","X10.137",10,0.2,0.8,0.5,136
"2203","X11.137",11,0.8,1,0.5,136
"2204","X12.137",12,0.4,1,0.5,136
"2205","X13.137",13,0.4,0.4,0.5,136
"2206","X14.137",14,1,1,0.5,136
"2207","X15.137",15,0.4,1,0.5,136
"2208","X16.137",16,0.3,0.5,0.5,136
"2209","X1.138",1,0.7,1,0.7,137
"2210","X2.138",2,0.6,0.8,0.7,137
"2211","X3.138",3,0.7,0.8,0.7,137
"2212","X4.138",4,0.5,0.7,0.7,137
"2213","X5.138",5,0.6,0.9,0.7,137
"2214","X6.138",6,0.4,0.7,0.7,137
"2215","X7.138",7,0.5,0.9,0.7,137
"2216","X8.138",8,0.4,1,0.7,137
"2217","X9.138",9,0.2,0.7,0.7,137
"2218","X10.138",10,0.45,0.8,0.7,137
"2219","X11.138",11,0.35,0.5,0.7,137
"2220","X12.138",12,0.2,0.5,0.7,137
"2221","X13.138",13,0.7,1,0.7,137
"2222","X14.138",14,0.7,1,0.7,137
"2223","X15.138",15,0.6,0.7,0.7,137
"2224","X16.138",16,0.2,0.5,0.7,137
"2225","X1.139",1,0.75,0.7,0.75,138
"2226","X2.139",2,0.5,0.55,0.75,138
"2227","X3.139",3,0.7,0.5,0.75,138
"2228","X4.139",4,0.6,0.5,0.75,138
"2229","X5.139",5,0.75,0.7,0.75,138
"2230","X6.139",6,0.6,0.7,0.75,138
"2231","X7.139",7,0.8,0.75,0.75,138
"2232","X8.139",8,0.8,0.7,0.75,138
"2233","X9.139",9,0.7,0.8,0.75,138
"2234","X10.139",10,0.8,0.9,0.75,138
"2235","X11.139",11,0.6,0.5,0.75,138
"2236","X12.139",12,0.6,0.75,0.75,138
"2237","X13.139",13,0.75,0.75,0.75,138
"2238","X14.139",14,0.7,0.8,0.75,138
"2239","X15.139",15,0.34,0.34,0.75,138
"2240","X16.139",16,0.75,0.8,0.75,138
"2241","X1.140",1,0.05,0.01,0.77,139
"2242","X2.140",2,0.95,0.99,0.77,139
"2243","X3.140",3,0.9,0.99,0.77,139
"2244","X4.140",4,0.8,0.75,0.77,139
"2245","X5.140",5,0.95,0.99,0.77,139
"2246","X6.140",6,0.75,0.8,0.77,139
"2247","X7.140",7,0.5,0.5,0.77,139
"2248","X8.140",8,0.75,0.95,0.77,139
"2249","X9.140",9,0.75,0.8,0.77,139
"2250","X10.140",10,0.25,0.3,0.77,139
"2251","X11.140",11,0.75,0.99,0.77,139
"2252","X12.140",12,0.8,0.99,0.77,139
"2253","X13.140",13,0.95,0.99,0.77,139
"2254","X14.140",14,0.25,0.8,0.77,139
"2255","X15.140",15,0.95,0.99,0.77,139
"2256","X16.140",16,0.95,0.99,0.77,139
"2257","X1.141",1,0.6,0.4,0.5,140
"2258","X2.141",2,0.4,0.3,0.5,140
"2259","X3.141",3,0.7,0.7,0.5,140
"2260","X4.141",4,0.6,0.8,0.5,140
"2261","X5.141",5,1,1,0.5,140
"2262","X6.141",6,0.4,0.3,0.5,140
"2263","X7.141",7,0.4,0.5,0.5,140
"2264","X8.141",8,0.8,0.7,0.5,140
"2265","X9.141",9,0.5,0.4,0.5,140
"2266","X10.141",10,0.3,0.5,0.5,140
"2267","X11.141",11,0.5,0.6,0.5,140
"2268","X12.141",12,0.4,0.7,0.5,140
"2269","X13.141",13,0.7,0.7,0.5,140
"2270","X14.141",14,1,1,0.5,140
"2271","X15.141",15,1,1,0.5,140
"2272","X16.141",16,0.8,1,0.5,140
"2273","X1.142",1,0.25,0.25,0.66,141
"2274","X2.142",2,0.5,0.5,0.66,141
"2275","X3.142",3,0.75,0.75,0.66,141
"2276","X4.142",4,0,1,0.66,141
"2277","X5.142",5,1,1,0.66,141
"2278","X6.142",6,0.34,0.34,0.66,141
"2279","X7.142",7,0.4,0.4,0.66,141
"2280","X8.142",8,0.5,0.5,0.66,141
"2281","X9.142",9,0.34,0.34,0.66,141
"2282","X10.142",10,0.75,0.75,0.66,141
"2283","X11.142",11,1,1,0.66,141
"2284","X12.142",12,1,1,0.66,141
"2285","X13.142",13,0.6,0.6,0.66,141
"2286","X14.142",14,0.25,0.25,0.66,141
"2287","X15.142",15,1,1,0.66,141
"2288","X16.142",16,1,1,0.66,141
"2289","X1.143",1,0.6,0.8,0.75,142
"2290","X2.143",2,0.5,0.8,0.75,142
"2291","X3.143",3,0.85,1,0.75,142
"2292","X4.143",4,0.4,0.5,0.75,142
"2293","X5.143",5,0.95,1,0.75,142
"2294","X6.143",6,0.55,0.9,0.75,142
"2295","X7.143",7,0.8,0.9,0.75,142
"2296","X8.143",8,0.45,0.95,0.75,142
"2297","X9.143",9,0.35,0.5,0.75,142
"2298","X10.143",10,0.4,0.5,0.75,142
"2299","X11.143",11,0.2,0.8,0.75,142
"2300","X12.143",12,0.7,0.9,0.75,142
"2301","X13.143",13,0.6,0.95,0.75,142
"2302","X14.143",14,0.95,1,0.75,142
"2303","X15.143",15,0.85,1,0.75,142
"2304","X16.143",16,0.8,1,0.75,142
"2305","X1.144",1,0.3,0.5,0.8,143
"2306","X2.144",2,0.8,0,0.8,143
"2307","X3.144",3,0.3,0.4,0.8,143
"2308","X4.144",4,0.15,0.25,0.8,143
"2309","X5.144",5,0.7,0.8,0.8,143
"2310","X6.144",6,0.25,0.4,0.8,143
"2311","X7.144",7,0.65,1,0.8,143
"2312","X8.144",8,0.4,1,0.8,143
"2313","X9.144",9,0.4,0.8,0.8,143
"2314","X10.144",10,0.3,1,0.8,143
"2315","X11.144",11,0.3,0.35,0.8,143
"2316","X12.144",12,0.6,0.8,0.8,143
"2317","X13.144",13,0.95,1,0.8,143
"2318","X14.144",14,0.95,1,0.8,143
"2319","X15.144",15,0.6,0.95,0.8,143
"2320","X16.144",16,0.5,0.7,0.8,143
"2337","X1.146",1,0.7,0.45,0.8,144
"2338","X2.146",2,1,1,0.8,144
"2339","X3.146",3,0.7,0.8,0.8,144
"2340","X4.146",4,0.3,0.3,0.8,144
"2341","X5.146",5,0,0,0.8,144
"2342","X6.146",6,1,1,0.8,144
"2343","X7.146",7,1,1,0.8,144
"2344","X8.146",8,0.5,0.5,0.8,144
"2345","X9.146",9,0.6,0.6,0.8,144
"2346","X10.146",10,0.2,0.2,0.8,144
"2347","X11.146",11,0.6,0.6,0.8,144
"2348","X12.146",12,1,1,0.8,144
"2349","X13.146",13,1,1,0.8,144
"2350","X14.146",14,1,1,0.8,144
"2351","X15.146",15,1,1,0.8,144
"2352","X16.146",16,1,1,0.8,144
"2353","X1.147",1,0.1,0.05,0.2,145
"2354","X2.147",2,0.5,0.6,0.2,145
"2355","X3.147",3,0.6,0.5,0.2,145
"2356","X4.147",4,0.45,0.4,0.2,145
"2357","X5.147",5,0.5,0.6,0.2,145
"2358","X6.147",6,0.2,0.3,0.2,145
"2359","X7.147",7,0.4,0.5,0.2,145
"2360","X8.147",8,0.5,0.7,0.2,145
"2361","X9.147",9,0.65,0.8,0.2,145
"2362","X10.147",10,0.4,0.25,0.2,145
"2363","X11.147",11,0.25,0.25,0.2,145
"2364","X12.147",12,0.3,0.4,0.2,145
"2365","X13.147",13,0.7,1,0.2,145
"2366","X14.147",14,0.8,1,0.2,145
"2367","X15.147",15,0.5,0.4,0.2,145
"2368","X16.147",16,0.3,0.4,0.2,145
"2369","X1.148",1,0.6,0.6,0.8,146
"2370","X2.148",2,0.7,0.92,0.8,146
"2371","X3.148",3,0.5,0.7,0.8,146
"2372","X4.148",4,0.3,0.35,0.8,146
"2373","X5.148",5,0.8,0.9,0.8,146
"2374","X6.148",6,0.3,0.6,0.8,146
"2375","X7.148",7,0.4,0.6,0.8,146
"2376","X8.148",8,0.7,0.9,0.8,146
"2377","X9.148",9,0.7,0.8,0.8,146
"2378","X10.148",10,0.35,0.5,0.8,146
"2379","X11.148",11,0.48,0.5,0.8,146
"2380","X12.148",12,0.8,1,0.8,146
"2381","X13.148",13,0.7,0.9,0.8,146
"2382","X14.148",14,0.92,1,0.8,146
"2383","X15.148",15,0.8,0.95,0.8,146
"2384","X16.148",16,0.95,1,0.8,146
"2385","X1.149",1,0.5,0.3,0.2,147
"2386","X2.149",2,0.5,0.7,0.2,147
"2387","X3.149",3,0.4,0.55,0.2,147
"2388","X4.149",4,0.35,0.25,0.2,147
"2389","X5.149",5,0.85,1,0.2,147
"2390","X6.149",6,0.3,0.25,0.2,147
"2391","X7.149",7,0.25,0.25,0.2,147
"2392","X8.149",8,1,1,0.2,147
"2393","X9.149",9,0.3,0.5,0.2,147
"2394","X10.149",10,0.25,0.25,0.2,147
"2395","X11.149",11,0.25,0.25,0.2,147
"2396","X12.149",12,0.4,0.25,0.2,147
"2397","X13.149",13,0.35,0.35,0.2,147
"2398","X14.149",14,0.25,0.25,0.2,147
"2399","X15.149",15,0.85,0.35,0.2,147
"2400","X16.149",16,0,0,0.2,147
"2401","X1.150",1,0.5,0.9,0.75,148
"2402","X2.150",2,0.85,0.8,0.75,148
"2403","X3.150",3,0.9,0.7,0.75,148
"2404","X4.150",4,0.2,0.5,0.75,148
"2405","X5.150",5,0.9,0.75,0.75,148
"2406","X6.150",6,0.9,1,0.75,148
"2407","X7.150",7,0.5,0.9,0.75,148
"2408","X8.150",8,0.75,0.8,0.75,148
"2409","X9.150",9,0.5,0.95,0.75,148
"2410","X10.150",10,0.25,0.8,0.75,148
"2411","X11.150",11,0.5,0.75,0.75,148
"2412","X12.150",12,0.6,0.95,0.75,148
"2413","X13.150",13,1,1,0.75,148
"2414","X14.150",14,0.9,1,0.75,148
"2415","X15.150",15,1,1,0.75,148
